town,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,resale_price,postal_code
YISHUN,2 ROOM,07 TO 09,47.0,Model A,94 years 03 months,338000.0,762462
YISHUN,2 ROOM,10 TO 12,47.0,Model A,93 years 05 months,350000.0,761676
YISHUN,2 ROOM,10 TO 12,47.0,Model A,87 years 03 months,340000.0,760452
YISHUN,2 ROOM,07 TO 09,47.0,Model A,94 years 06 months,350000.0,761469
YISHUN,2 ROOM,10 TO 12,47.0,Model A,94 years 06 months,335000.0,761469
YISHUN,3 ROOM,04 TO 06,67.0,Model A,90 years 07 months,425000.0,761424
YISHUN,3 ROOM,13 TO 15,67.0,Model A,90 years 07 months,450000.0,761429
YISHUN,3 ROOM,10 TO 12,67.0,Model A,87 years 02 months,450000.0,760442
YISHUN,3 ROOM,01 TO 03,67.0,Model A,90 years 07 months,420000.0,763424
YISHUN,3 ROOM,07 TO 09,67.0,DBSS,88 years 04 months,530000.0,762348
YISHUN,3 ROOM,07 TO 09,68.0,Model A,92 years 08 months,470000.0,761671
YISHUN,3 ROOM,10 TO 12,67.0,New Generation,59 years 08 months,420000.0,760741
YISHUN,3 ROOM,01 TO 03,72.0,New Generation,59 years 01 month,418000.0,760702
YISHUN,3 ROOM,01 TO 03,68.0,New Generation,53 years 01 month,395000.0,760101
YISHUN,3 ROOM,01 TO 03,67.0,New Generation,60 years 02 months,400000.0,760739
YISHUN,3 ROOM,07 TO 09,68.0,Model A,94 years 03 months,460000.0,762462
YISHUN,3 ROOM,10 TO 12,74.0,Model A,62 years 08 months,460000.0,760304
YISHUN,3 ROOM,01 TO 03,74.0,Model A,62 years 09 months,420000.0,760321
YISHUN,3 ROOM,04 TO 06,67.0,New Generation,57 years 01 month,368000.0,760111
YISHUN,3 ROOM,07 TO 09,64.0,Simplified,60 years 04 months,408000.0,760243
YISHUN,3 ROOM,04 TO 06,67.0,New Generation,61 years 07 months,410000.0,760241
YISHUN,3 ROOM,10 TO 12,67.0,Model A,93 years,570000.0,761813
YISHUN,3 ROOM,04 TO 06,64.0,Simplified,60 years 10 months,390000.0,760110
YISHUN,3 ROOM,07 TO 09,74.0,Model A,62 years 06 months,435000.0,760802
YISHUN,3 ROOM,01 TO 03,66.0,New Generation,60 years 07 months,370000.0,760158
YISHUN,3 ROOM,04 TO 06,67.0,New Generation,60 years 04 months,370000.0,760147
YISHUN,3 ROOM,04 TO 06,67.0,New Generation,59 years 10 months,415000.0,760150
YISHUN,3 ROOM,10 TO 12,74.0,Model A,59 years 09 months,420000.0,760131
YISHUN,3 ROOM,04 TO 06,67.0,New Generation,59 years 07 months,383888.0,760127
YISHUN,3 ROOM,01 TO 03,67.0,Model A,90 years 06 months,415000.0,761335
YISHUN,3 ROOM,07 TO 09,67.0,Model A,94 years 06 months,455000.0,761468
YISHUN,3 ROOM,07 TO 09,67.0,Model A,92 years 08 months,470000.0,761502
YISHUN,3 ROOM,07 TO 09,68.0,Model A,90 years 10 months,485000.0,762504
YISHUN,3 ROOM,10 TO 12,73.0,Model A,62 years 11 months,435000.0,760629
YISHUN,3 ROOM,01 TO 03,67.0,New Generation,59 years 03 months,408000.0,760744
YISHUN,3 ROOM,10 TO 12,67.0,New Generation,59 years 07 months,411000.0,760746
YISHUN,3 ROOM,01 TO 03,73.0,Model A,63 years 05 months,430000.0,760825
YISHUN,4 ROOM,10 TO 12,92.0,Model A,89 years 10 months,543000.0,763426
YISHUN,4 ROOM,07 TO 09,84.0,Simplified,63 years 04 months,458000.0,760423
YISHUN,4 ROOM,10 TO 12,92.0,DBSS,88 years 05 months,778000.0,761348
YISHUN,4 ROOM,07 TO 09,92.0,Model A,90 years 07 months,545000.0,763424
YISHUN,4 ROOM,01 TO 03,93.0,Model A,88 years 03 months,540000.0,760458
YISHUN,4 ROOM,07 TO 09,84.0,Simplified,61 years 04 months,472000.0,760770
YISHUN,4 ROOM,10 TO 12,104.0,Model A,60 years 05 months,530000.0,760771
YISHUN,4 ROOM,10 TO 12,93.0,Model A,92 years 11 months,620000.0,761508
YISHUN,4 ROOM,07 TO 09,93.0,Model A,93 years 06 months,580000.0,761674
YISHUN,4 ROOM,10 TO 12,84.0,Simplified,62 years 03 months,480088.0,760660
YISHUN,4 ROOM,10 TO 12,93.0,Model A,93 years 06 months,618000.0,761674
YISHUN,4 ROOM,01 TO 03,104.0,Model A,61 years 08 months,500000.0,760653
YISHUN,4 ROOM,01 TO 03,96.0,New Generation,59 years 02 months,515000.0,760702
YISHUN,4 ROOM,01 TO 03,93.0,Model A,94 years 04 months,525000.0,761462
YISHUN,4 ROOM,10 TO 12,84.0,Simplified,63 years 04 months,460000.0,760435
YISHUN,4 ROOM,04 TO 06,108.0,Model A,62 years 10 months,525000.0,760305
YISHUN,4 ROOM,01 TO 03,104.0,Model A,67 years 09 months,630168.0,760930
YISHUN,4 ROOM,10 TO 12,104.0,Model A,63 years 03 months,515000.0,760367
YISHUN,4 ROOM,01 TO 03,84.0,Simplified,60 years 10 months,460000.0,760120
YISHUN,4 ROOM,07 TO 09,105.0,Model A,63 years 06 months,530000.0,760362
YISHUN,4 ROOM,07 TO 09,84.0,Simplified,60 years 03 months,442888.0,760255
YISHUN,4 ROOM,01 TO 03,93.0,Model A,93 years 05 months,540000.0,761677
YISHUN,4 ROOM,10 TO 12,98.0,New Generation,59 years 10 months,533000.0,760216
YISHUN,4 ROOM,10 TO 12,93.0,New Generation,59 years 08 months,555000.0,760205
