town,flat_type,storey_range,floor_area_sqm,flat_model,resale_price,postal_code,lease
SEMBAWANG,3 ROOM,01 TO 03,68.0,Model A,460000.0,754115,1118
SEMBAWANG,4 ROOM,07 TO 09,102.0,Premium Apartment,520000.0,751469,915
SEMBAWANG,4 ROOM,10 TO 12,96.0,Premium Apartment,563000.0,750357,913
SEMBAWANG,4 ROOM,07 TO 09,102.0,Premium Apartment,520000.0,750469,915
SEMBAWANG,4 ROOM,04 TO 06,86.0,Model A2,455000.0,750405,908
SEMBAWANG,4 ROOM,13 TO 15,93.0,Model A,688000.0,751130,1121
SEMBAWANG,4 ROOM,13 TO 15,93.0,Model A,648888.0,753107,1118
SEMBAWANG,4 ROOM,10 TO 12,93.0,Model A,680000.0,753108,1116
SEMBAWANG,4 ROOM,01 TO 03,100.0,Model A,530000.0,750330,890
SEMBAWANG,4 ROOM,04 TO 06,100.0,Model A,512500.0,750324,887
SEMBAWANG,4 ROOM,07 TO 09,93.0,Model A,595000.0,753365,1127
SEMBAWANG,4 ROOM,04 TO 06,91.0,Model A,500888.0,750407,911
SEMBAWANG,4 ROOM,01 TO 03,92.0,Model A,495000.0,752463,1080
SEMBAWANG,5 ROOM,13 TO 15,110.0,Premium Apartment,640000.0,752356,913
SEMBAWANG,5 ROOM,13 TO 15,112.0,Improved,690000.0,753353,921
SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,618000.0,753351,917
SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,620000.0,752350,916
SEMBAWANG,5 ROOM,07 TO 09,113.0,Improved,747000.0,753128,1121
SEMBAWANG,5 ROOM,01 TO 03,120.0,Improved,610000.0,750332,890
SEMBAWANG,EXECUTIVE,07 TO 09,131.0,Premium Apartment,695000.0,752360,916
SEMBAWANG,EXECUTIVE,10 TO 12,137.0,Premium Apartment,670000.0,750469,915
SEMBAWANG,EXECUTIVE,13 TO 15,137.0,Premium Apartment,692000.0,753468,912
SEMBAWANG,EXECUTIVE,13 TO 15,137.0,Premium Apartment,688000.0,751469,915
SEMBAWANG,EXECUTIVE,07 TO 09,130.0,Apartment,765000.0,751503,915
SEMBAWANG,EXECUTIVE,07 TO 09,139.0,Apartment,705000.0,750338,890
SENGKANG,2 ROOM,10 TO 12,47.0,Model A,375000.0,543351,1128
SENGKANG,2 ROOM,10 TO 12,47.0,Model A,385000.0,543351,1128
SENGKANG,2 ROOM,01 TO 03,47.0,Model A,375000.0,542351,1128
SENGKANG,2 ROOM,07 TO 09,47.0,2-room,368000.0,543351,1128
SENGKANG,2 ROOM,16 TO 18,47.0,Model A,360000.0,791447,1062
SENGKANG,2 ROOM,04 TO 06,47.0,Model A,337000.0,544180,1078
SENGKANG,2 ROOM,01 TO 03,48.0,2-room,350000.0,791455,1145
SENGKANG,3 ROOM,13 TO 15,67.0,Premium Apartment,510000.0,543334,1087
SENGKANG,3 ROOM,10 TO 12,67.0,Model A,510888.0,543351,1128
